id,name,base_experience,height,weight,speed,hp,attack,defense,special-attack,special-defense,forms,species,is_default,order,ability1,ability2,ability3,type1,type2,moves
1,bulbasaur,64.0,7,69,45,45,49,49,65,65,bulbasaur,bulbasaur,True,1,overgrow,chlorophyll,,grass,poison,"['razor-wind', 'swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'petal-dance', 'string-shot', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'sludge', 'skull-bash', 'amnesia', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'outrage', 'giga-drain', 'endure', 'charm', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'helping-hand', 'ingrain', 'knock-off', 'secret-power', 'weather-ball', 'grass-whistle', 'bullet-seed', 'magical-leaf', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'leaf-storm', 'power-whip', 'captivate', 'grass-knot', 'venoshock', 'round', 'echoed-voice', 'grass-pledge', 'work-up', 'grassy-terrain', 'confide', 'grassy-glide']"
2,ivysaur,142.0,10,130,60,60,62,63,80,80,ivysaur,ivysaur,True,2,overgrow,chlorophyll,,grass,poison,"['swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'string-shot', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'amnesia', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'outrage', 'giga-drain', 'endure', 'charm', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'helping-hand', 'knock-off', 'secret-power', 'weather-ball', 'bullet-seed', 'magical-leaf', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'leaf-storm', 'power-whip', 'captivate', 'grass-knot', 'venoshock', 'round', 'echoed-voice', 'grass-pledge', 'work-up', 'grassy-terrain', 'confide', 'grassy-glide']"
3,venusaur,263.0,20,1000,80,80,82,83,100,100,venusaur,venusaur,True,3,overgrow,chlorophyll,,grass,poison,"['swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'roar', 'hyper-beam', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'petal-dance', 'string-shot', 'earthquake', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'amnesia', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'outrage', 'giga-drain', 'endure', 'charm', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'helping-hand', 'knock-off', 'secret-power', 'weather-ball', 'bullet-seed', 'block', 'frenzy-plant', 'magical-leaf', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'earth-power', 'giga-impact', 'rock-climb', 'leaf-storm', 'power-whip', 'captivate', 'grass-knot', 'venoshock', 'round', 'echoed-voice', 'grass-pledge', 'bulldoze', 'work-up', 'petal-blizzard', 'grassy-terrain', 'confide', 'stomping-tantrum', 'grassy-glide', 'terrain-pulse']"
4,charmander,62.0,6,85,65,39,52,43,60,50,charmander,charmander,True,5,blaze,solar-power,,fire,,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'wing-attack', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'growl', 'ember', 'flamethrower', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'belly-drum', 'mud-slap', 'outrage', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'beat-up', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'secret-power', 'weather-ball', 'air-cutter', 'overheat', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'natural-gift', 'fling', 'flare-blitz', 'dragon-pulse', 'dragon-rush', 'focus-blast', 'shadow-claw', 'fire-fang', 'captivate', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'incinerate', 'acrobatics', 'inferno', 'fire-pledge', 'dragon-tail', 'work-up', 'confide', 'power-up-punch', 'tera-blast']"
5,charmeleon,142.0,11,190,80,58,64,58,80,65,charmeleon,charmeleon,True,6,blaze,solar-power,,fire,,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'growl', 'ember', 'flamethrower', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'mud-slap', 'outrage', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'sunny-day', 'crunch', 'rock-smash', 'beat-up', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'secret-power', 'weather-ball', 'overheat', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'natural-gift', 'fling', 'flare-blitz', 'dragon-pulse', 'shadow-claw', 'fire-fang', 'captivate', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'incinerate', 'acrobatics', 'inferno', 'fire-pledge', 'dragon-tail', 'work-up', 'confide', 'power-up-punch', 'tera-blast']"
6,charizard,267.0,17,905,100,78,84,78,109,85,charizard,charizard,True,7,blaze,solar-power,,fire,flying,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'wing-attack', 'fly', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'growl', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'dragon-rage', 'fire-spin', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'mud-slap', 'outrage', 'sandstorm', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'twister', 'sunny-day', 'crunch', 'rock-smash', 'beat-up', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'secret-power', 'blaze-kick', 'blast-burn', 'weather-ball', 'air-cutter', 'overheat', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'roost', 'natural-gift', 'tailwind', 'fling', 'flare-blitz', 'air-slash', 'dragon-pulse', 'focus-blast', 'giga-impact', 'shadow-claw', 'fire-fang', 'defog', 'captivate', 'ominous-wind', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'sky-drop', 'incinerate', 'acrobatics', 'inferno', 'fire-pledge', 'bulldoze', 'dragon-tail', 'work-up', 'heat-crash', 'hurricane', 'confide', 'mystical-fire', 'power-up-punch', 'brutal-swing', 'breaking-swipe', 'scale-shot', 'dual-wingbeat', 'scorching-sands', 'tera-blast']"
7,squirtle,63.0,5,90,43,44,48,65,50,64,squirtle,squirtle,True,10,torrent,rain-dish,,water,,"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'confusion', 'rage', 'mimic', 'double-team', 'withdraw', 'defense-curl', 'haze', 'reflect', 'bide', 'waterfall', 'skull-bash', 'bubble', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'flail', 'protect', 'mud-slap', 'foresight', 'icy-wind', 'outrage', 'endure', 'rollout', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'hidden-power', 'rain-dance', 'mirror-coat', 'rock-smash', 'whirlpool', 'fake-out', 'hail', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'yawn', 'refresh', 'secret-power', 'dive', 'mud-sport', 'weather-ball', 'rock-tomb', 'water-spout', 'muddy-water', 'iron-defense', 'water-pulse', 'gyro-ball', 'brine', 'natural-gift', 'fling', 'aqua-ring', 'aura-sphere', 'aqua-tail', 'dragon-pulse', 'zen-headbutt', 'captivate', 'aqua-jet', 'round', 'scald', 'shell-smash', 'water-pledge', 'work-up', 'confide', 'power-up-punch', 'life-dew', 'flip-turn']"
8,wartortle,142.0,10,225,58,59,63,80,65,80,wartortle,wartortle,True,11,torrent,rain-dish,,water,,"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'withdraw', 'defense-curl', 'reflect', 'bide', 'waterfall', 'skull-bash', 'bubble', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'icy-wind', 'outrage', 'endure', 'rollout', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'hidden-power', 'rain-dance', 'rock-smash', 'whirlpool', 'hail', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'secret-power', 'dive', 'weather-ball', 'rock-tomb', 'muddy-water', 'iron-defense', 'water-pulse', 'gyro-ball', 'brine', 'natural-gift', 'fling', 'aura-sphere', 'aqua-tail', 'dragon-pulse', 'zen-headbutt', 'captivate', 'round', 'scald', 'shell-smash', 'water-pledge', 'work-up', 'confide', 'power-up-punch', 'flip-turn']"
9,blastoise,265.0,16,855,78,79,83,100,85,105,blastoise,blastoise,True,12,torrent,rain-dish,,water,,"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'roar', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'withdraw', 'defense-curl', 'reflect', 'bide', 'waterfall', 'skull-bash', 'bubble', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'icy-wind', 'outrage', 'endure', 'rollout', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'hidden-power', 'rain-dance', 'crunch', 'rock-smash', 'whirlpool', 'fake-out', 'hail', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'secret-power', 'dive', 'hydro-cannon', 'weather-ball', 'rock-tomb', 'signal-beam', 'muddy-water', 'iron-defense', 'water-pulse', 'gyro-ball', 'brine', 'natural-gift', 'fling', 'aura-sphere', 'dark-pulse', 'aqua-tail', 'dragon-pulse', 'focus-blast', 'giga-impact', 'avalanche', 'zen-headbutt', 'flash-cannon', 'rock-climb', 'captivate', 'aqua-jet', 'smack-down', 'round', 'scald', 'shell-smash', 'water-pledge', 'bulldoze', 'dragon-tail', 'work-up', 'confide', 'power-up-punch', 'liquidation', 'body-press', 'terrain-pulse', 'flip-turn']"
10,caterpie,39.0,3,29,45,45,30,35,20,20,caterpie,caterpie,True,14,shield-dust,run-away,,bug,,"['tackle', 'string-shot', 'snore', 'bug-bite', 'electroweb']"
11,metapod,72.0,7,99,30,50,20,55,25,25,metapod,metapod,True,15,shed-skin,,,bug,,"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']"
12,butterfree,198.0,11,320,70,60,45,50,90,80,butterfree,butterfree,True,16,compound-eyes,tinted-lens,,bug,flying,"['razor-wind', 'gust', 'whirlwind', 'headbutt', 'tackle', 'take-down', 'double-edge', 'supersonic', 'psybeam', 'hyper-beam', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'string-shot', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'harden', 'reflect', 'bide', 'swift', 'dream-eater', 'flash', 'psywave', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'sweet-scent', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'facade', 'skill-swap', 'secret-power', 'air-cutter', 'silver-wind', 'signal-beam', 'aerial-ace', 'iron-defense', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'air-slash', 'bug-buzz', 'energy-ball', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'rage-powder', 'quiver-dance', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'hurricane', 'draining-kiss', 'confide', 'infestation', 'pollen-puff', 'dual-wingbeat']"
13,weedle,39.0,3,32,50,40,35,30,20,20,weedle,weedle,True,17,shield-dust,run-away,,bug,poison,"['poison-sting', 'string-shot', 'bug-bite', 'electroweb']"
14,kakuna,72.0,6,100,35,45,25,50,25,25,kakuna,kakuna,True,18,shed-skin,,,bug,poison,"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']"
15,beedrill,178.0,10,295,75,65,90,40,45,80,beedrill,beedrill,True,19,swarm,sniper,,bug,poison,"['swords-dance', 'cut', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'twineedle', 'pin-missile', 'hyper-beam', 'peck', 'mega-drain', 'solar-beam', 'string-shot', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'focus-energy', 'bide', 'swift', 'skull-bash', 'flash', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'sludge-bomb', 'outrage', 'giga-drain', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'sweet-scent', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'air-cutter', 'silver-wind', 'aerial-ace', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'payback', 'assurance', 'toxic-spikes', 'poison-jab', 'x-scissor', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'drill-run', 'fell-stinger', 'confide', 'infestation', 'laser-focus', 'throat-chop', 'brutal-swing']"
16,pidgey,50.0,3,18,56,40,45,40,35,35,pidgey,pidgey,True,21,keen-eye,tangled-feet,big-pecks,normal,flying,"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'feint-attack', 'mud-slap', 'foresight', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'brave-bird', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide']"
17,pidgeotto,122.0,11,300,71,63,60,55,50,50,pidgeotto,pidgeotto,True,22,keen-eye,tangled-feet,big-pecks,normal,flying,"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide']"
18,pidgeot,216.0,15,395,101,83,80,75,70,70,pidgeot,pidgeot,True,23,keen-eye,tangled-feet,big-pecks,normal,flying,"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'hyper-beam', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'giga-impact', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide', 'laser-focus']"
