base_happiness,capture_rate,color,evolves_from_species,forms_switchable,generation,growth_rate,habitat,has_gender_differences,hatch_counter,is_baby,is_legendary,is_mythical,name,order,pal_park_encounters,shape,varieties,egg_group1,egg_group2,%_female,% male
50,45,green,,False,1,medium-slow,grassland,False,20,False,False,False,bulbasaur,1,field,quadruped,['bulbasaur'],monster,plant,12.5,87.5
50,45,green,bulbasaur,False,1,medium-slow,grassland,False,20,False,False,False,ivysaur,2,field,quadruped,['ivysaur'],monster,plant,12.5,87.5
50,45,green,ivysaur,True,1,medium-slow,grassland,True,20,False,False,False,venusaur,3,field,quadruped,"['venusaur', 'venusaur-mega', 'venusaur-gmax']",monster,plant,12.5,87.5
50,45,red,,False,1,medium-slow,mountain,False,20,False,False,False,charmander,4,field,upright,['charmander'],monster,dragon,12.5,87.5
50,45,red,charmander,False,1,medium-slow,mountain,False,20,False,False,False,charmeleon,5,field,upright,['charmeleon'],monster,dragon,12.5,87.5
50,45,red,charmeleon,True,1,medium-slow,mountain,False,20,False,False,False,charizard,6,field,upright,"['charizard', 'charizard-mega-x', 'charizard-mega-y', 'charizard-gmax']",monster,dragon,12.5,87.5
50,45,blue,,False,1,medium-slow,waters-edge,False,20,False,False,False,squirtle,7,pond,upright,['squirtle'],monster,water1,12.5,87.5
50,45,blue,squirtle,False,1,medium-slow,waters-edge,False,20,False,False,False,wartortle,8,pond,upright,['wartortle'],monster,water1,12.5,87.5
50,45,blue,wartortle,True,1,medium-slow,waters-edge,False,20,False,False,False,blastoise,9,pond,upright,"['blastoise', 'blastoise-mega', 'blastoise-gmax']",monster,water1,12.5,87.5
50,255,green,,False,1,medium,forest,False,15,False,False,False,caterpie,10,forest,armor,['caterpie'],bug,,50.0,50.0
50,120,green,caterpie,False,1,medium,forest,False,15,False,False,False,metapod,11,forest,squiggle,['metapod'],bug,,50.0,50.0
50,45,white,metapod,False,1,medium,forest,True,15,False,False,False,butterfree,12,forest,bug-wings,"['butterfree', 'butterfree-gmax']",bug,,50.0,50.0
70,255,brown,,False,1,medium,forest,False,15,False,False,False,weedle,13,forest,armor,['weedle'],bug,,50.0,50.0
70,120,yellow,weedle,False,1,medium,forest,False,15,False,False,False,kakuna,14,forest,squiggle,['kakuna'],bug,,50.0,50.0
70,45,yellow,kakuna,True,1,medium,forest,False,15,False,False,False,beedrill,15,forest,bug-wings,"['beedrill', 'beedrill-mega']",bug,,50.0,50.0
70,255,brown,,False,1,medium-slow,forest,False,15,False,False,False,pidgey,16,field,wings,['pidgey'],flying,,50.0,50.0
70,120,brown,pidgey,False,1,medium-slow,forest,False,15,False,False,False,pidgeotto,17,field,wings,['pidgeotto'],flying,,50.0,50.0
70,45,brown,pidgeotto,True,1,medium-slow,forest,False,15,False,False,False,pidgeot,18,field,wings,"['pidgeot', 'pidgeot-mega']",flying,,50.0,50.0
70,255,purple,,False,1,medium,grassland,True,15,False,False,False,rattata,19,field,quadruped,"['rattata', 'rattata-alola']",ground,,50.0,50.0
70,127,brown,rattata,False,1,medium,grassland,True,15,False,False,False,raticate,20,field,quadruped,"['raticate', 'raticate-alola', 'raticate-totem-alola']",ground,,50.0,50.0
70,255,brown,,False,1,medium,rough-terrain,False,15,False,False,False,spearow,21,field,wings,['spearow'],flying,,50.0,50.0
70,90,brown,spearow,False,1,medium,rough-terrain,False,15,False,False,False,fearow,22,field,wings,['fearow'],flying,,50.0,50.0
70,255,purple,,False,1,medium,grassland,False,20,False,False,False,ekans,23,forest,squiggle,['ekans'],ground,dragon,50.0,50.0
70,90,purple,ekans,False,1,medium,grassland,False,20,False,False,False,arbok,24,forest,squiggle,['arbok'],ground,dragon,50.0,50.0
50,190,yellow,pichu,False,1,medium,forest,True,10,False,False,False,pikachu,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
50,75,yellow,pikachu,False,1,medium,forest,True,10,False,False,False,raichu,27,forest,upright,"['raichu', 'raichu-alola']",ground,fairy,50.0,50.0
50,255,yellow,,False,1,medium,rough-terrain,False,20,False,False,False,sandshrew,28,mountain,upright,"['sandshrew', 'sandshrew-alola']",ground,,50.0,50.0
50,90,yellow,sandshrew,False,1,medium,rough-terrain,False,20,False,False,False,sandslash,29,mountain,upright,"['sandslash', 'sandslash-alola']",ground,,50.0,50.0
50,235,blue,,False,1,medium-slow,grassland,False,20,False,False,False,nidoran-f,30,field,quadruped,['nidoran-f'],monster,ground,100.0,0.0
50,120,blue,nidoran-f,False,1,medium-slow,grassland,False,20,False,False,False,nidorina,31,field,quadruped,['nidorina'],no-eggs,,100.0,0.0
50,45,blue,nidorina,False,1,medium-slow,grassland,False,20,False,False,False,nidoqueen,32,field,upright,['nidoqueen'],no-eggs,,100.0,0.0
50,235,purple,,False,1,medium-slow,grassland,False,20,False,False,False,nidoran-m,33,field,quadruped,['nidoran-m'],monster,ground,0.0,100.0
50,120,purple,nidoran-m,False,1,medium-slow,grassland,False,20,False,False,False,nidorino,34,field,quadruped,['nidorino'],monster,ground,0.0,100.0
50,45,purple,nidorino,False,1,medium-slow,grassland,False,20,False,False,False,nidoking,35,field,upright,['nidoking'],monster,ground,0.0,100.0
