type,name,order,base_happiness,capture_rate,color,evolves_from_species,forms_switchable,generation,growth_rate,habitat,shape,%_female,% male,has_gender_differences,hatch_counter,egg_group1,egg_group2,is_baby,is_legendary,is_mythical,pal_park_encounters,varieties
bulbasaur,bulbasaur,1,50.0,45,green,,False,1,medium-slow,grassland,quadruped,12.5,87.5,False,20.0,monster,plant,False,False,False,field,['bulbasaur']
ivysaur,ivysaur,2,50.0,45,green,bulbasaur,False,1,medium-slow,grassland,quadruped,12.5,87.5,False,20.0,monster,plant,False,False,False,field,['ivysaur']
venusaur,venusaur,3,50.0,45,green,ivysaur,True,1,medium-slow,grassland,quadruped,12.5,87.5,True,20.0,monster,plant,False,False,False,field,"['venusaur', 'venusaur-mega', 'venusaur-gmax']"
charmander,charmander,4,50.0,45,red,,False,1,medium-slow,mountain,upright,12.5,87.5,False,20.0,monster,dragon,False,False,False,field,['charmander']
charmeleon,charmeleon,5,50.0,45,red,charmander,False,1,medium-slow,mountain,upright,12.5,87.5,False,20.0,monster,dragon,False,False,False,field,['charmeleon']
charizard,charizard,6,50.0,45,red,charmeleon,True,1,medium-slow,mountain,upright,12.5,87.5,False,20.0,monster,dragon,False,False,False,field,"['charizard', 'charizard-mega-x', 'charizard-mega-y', 'charizard-gmax']"
squirtle,squirtle,7,50.0,45,blue,,False,1,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,['squirtle']
wartortle,wartortle,8,50.0,45,blue,squirtle,False,1,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,['wartortle']
blastoise,blastoise,9,50.0,45,blue,wartortle,True,1,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,"['blastoise', 'blastoise-mega', 'blastoise-gmax']"
caterpie,caterpie,10,50.0,255,green,,False,1,medium,forest,armor,50.0,50.0,False,15.0,bug,,False,False,False,forest,['caterpie']
metapod,metapod,11,50.0,120,green,caterpie,False,1,medium,forest,squiggle,50.0,50.0,False,15.0,bug,,False,False,False,forest,['metapod']
butterfree,butterfree,12,50.0,45,white,metapod,False,1,medium,forest,bug-wings,50.0,50.0,True,15.0,bug,,False,False,False,forest,"['butterfree', 'butterfree-gmax']"
weedle,weedle,13,70.0,255,brown,,False,1,medium,forest,armor,50.0,50.0,False,15.0,bug,,False,False,False,forest,['weedle']
kakuna,kakuna,14,70.0,120,yellow,weedle,False,1,medium,forest,squiggle,50.0,50.0,False,15.0,bug,,False,False,False,forest,['kakuna']
beedrill,beedrill,15,70.0,45,yellow,kakuna,True,1,medium,forest,bug-wings,50.0,50.0,False,15.0,bug,,False,False,False,forest,"['beedrill', 'beedrill-mega']"
pidgey,pidgey,16,70.0,255,brown,,False,1,medium-slow,forest,wings,50.0,50.0,False,15.0,flying,,False,False,False,field,['pidgey']
pidgeotto,pidgeotto,17,70.0,120,brown,pidgey,False,1,medium-slow,forest,wings,50.0,50.0,False,15.0,flying,,False,False,False,field,['pidgeotto']
pidgeot,pidgeot,18,70.0,45,brown,pidgeotto,True,1,medium-slow,forest,wings,50.0,50.0,False,15.0,flying,,False,False,False,field,"['pidgeot', 'pidgeot-mega']"
rattata,rattata,19,70.0,255,purple,,False,1,medium,grassland,quadruped,50.0,50.0,True,15.0,ground,,False,False,False,field,"['rattata', 'rattata-alola']"
raticate,raticate,20,70.0,127,brown,rattata,False,1,medium,grassland,quadruped,50.0,50.0,True,15.0,ground,,False,False,False,field,"['raticate', 'raticate-alola', 'raticate-totem-alola']"
spearow,spearow,21,70.0,255,brown,,False,1,medium,rough-terrain,wings,50.0,50.0,False,15.0,flying,,False,False,False,field,['spearow']
fearow,fearow,22,70.0,90,brown,spearow,False,1,medium,rough-terrain,wings,50.0,50.0,False,15.0,flying,,False,False,False,field,['fearow']
ekans,ekans,23,70.0,255,purple,,False,1,medium,grassland,squiggle,50.0,50.0,False,20.0,ground,dragon,False,False,False,forest,['ekans']
arbok,arbok,24,70.0,90,purple,ekans,False,1,medium,grassland,squiggle,50.0,50.0,False,20.0,ground,dragon,False,False,False,forest,['arbok']
pikachu,pikachu,26,50.0,190,yellow,pichu,False,1,medium,forest,quadruped,50.0,50.0,True,10.0,ground,fairy,False,False,False,forest,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']"
